Running ibex deisgn in sky130hs
5000 runs will be executed
['CLK_PERIOD', 'CORE_UTILIZATION', 'ASPECT_RATIO', 'GP_PAD', 'DP_PAD', 'LAYER_ADJUST', 'PLACE_DENSITY', 'FLATTEN', 'ABC_CLOCK_PERIOD', 'PINS_DISTANCE', 'CTS_CLUSTER_SIZE', 'CTS_CLUSTER_DIAMETER', 'GR_OVERFLOW']
[5.6357, 28.0, 0.92, 0.0, 2.0, 0.1, 0.39, 0.0, 5000.0, 2.0, 26.0, 118.0, 1.0]
[6.0165, 34.0, 0.788, 1.0, 1.0, 0.3, 0.51, 0.0, 5000.0, 1.0, 25.0, 111.0, 1.0]
[5.022, 32.0, 0.867, 4.0, 3.0, 0.2, 0.33, 0.0, 5000.0, 1.0, 21.0, 119.0, 1.0]
[7.3835, 34.0, 0.881, 4.0, 3.0, 0.2, 0.32, 1.0, 5000.0, 1.0, 18.0, 90.0, 1.0]
[6.4832, 30.0, 0.755, 2.0, 4.0, 0.4, 0.28, 0.0, 5000.0, 2.0, 14.0, 83.0, 1.0]
[7.2645, 30.0, 0.751, 1.0, 1.0, 0.5, 0.29, 0.0, 5000.0, 2.0, 28.0, 112.0, 1.0]
[5.3866, 31.0, 0.703, 2.0, 4.0, 0.6, 0.71, 0.0, 5000.0, 1.0, 36.0, 87.0, 1.0]
[7.0616, 29.0, 0.754, 3.0, 1.0, 0.4, 0.61, 1.0, 5000.0, 3.0, 38.0, 88.0, 1.0]
[5.9326, 27.0, 0.966, 3.0, 1.0, 0.5, 0.8, 0.0, 5000.0, 2.0, 32.0, 117.0, 1.0]
[6.7167, 25.0, 0.951, 3.0, 3.0, 0.4, 0.47, 0.0, 5000.0, 1.0, 12.0, 93.0, 1.0]
[6.1682, 28.0, 0.8, 2.0, 4.0, 0.4, 0.46, 1.0, 5000.0, 3.0, 19.0, 81.0, 1.0]
[5.4097, 36.0, 0.952, 0.0, 2.0, 0.6, 0.11, 0.0, 5000.0, 1.0, 35.0, 119.0, 1.0]
[6.0804, 27.0, 0.941, 3.0, 3.0, 0.7, 0.42, 1.0, 5000.0, 3.0, 37.0, 111.0, 1.0]
[6.333, 34.0, 0.965, 2.0, 4.0, 0.4, 0.86, 0.0, 5000.0, 2.0, 11.0, 118.0, 1.0]
[6.235, 27.0, 0.868, 4.0, 3.0, 0.3, 0.54, 1.0, 5000.0, 2.0, 35.0, 83.0, 1.0]
[5.0866, 33.0, 0.807, 1.0, 4.0, 0.3, 0.6, 1.0, 5000.0, 1.0, 39.0, 98.0, 1.0]
[7.6085, 29.0, 0.714, 4.0, 4.0, 0.6, 0.39, 1.0, 5000.0, 2.0, 35.0, 118.0, 1.0]
[7.29, 28.0, 0.797, 3.0, 1.0, 0.2, 0.25, 0.0, 5000.0, 1.0, 15.0, 101.0, 1.0]
[5.5078, 31.0, 0.886, 2.0, 1.0, 0.6, 0.75, 1.0, 5000.0, 1.0, 17.0, 92.0, 1.0]
[7.4871, 27.0, 0.999, 3.0, 2.0, 0.6, 0.16, 1.0, 5000.0, 3.0, 20.0, 92.0, 1.0]
[6.4294, 32.0, 0.887, 3.0, 2.0, 0.3, 0.86, 1.0, 5000.0, 2.0, 22.0, 91.0, 1.0]
[5.5822, 30.0, 0.761, 3.0, 2.0, 0.1, 0.28, 1.0, 5000.0, 2.0, 26.0, 117.0, 1.0]
[6.2278, 35.0, 0.722, 2.0, 1.0, 0.5, 0.31, 0.0, 5000.0, 1.0, 32.0, 92.0, 1.0]
[5.5679, 26.0, 0.79, 1.0, 2.0, 0.3, 0.75, 1.0, 5000.0, 2.0, 28.0, 112.0, 1.0]
